KR_38	KR_50	KR_51	KR_53	KR_56	KR_57	KR_61	KR_64	KR_08	KR_13	KR_14	KR_15	KR_18	KR_19	KR_21	KR_23	KR_24	KR_25	KR_26	KR_27	KR_28	KR_33	KR_35	KR_48	KR_52
AATK	0.336	0.291	0.648	0.122	0.069	0.226	0.271	0.01	0.192	0.139	0.169	0.083	0.254	4.619	0.837	1.733	1.667	1.647	0.118	0.395	0.258	0.318	0.198	0.079	0.069
ABAT	20.671	14.405	29.132	25.663	13.754	25.558	14.71	22.481	6.487	5.495	4.609	3.753	2.453	7.317	9.601	18.013	6.506	13.859	3.774	7.73	8.336	4.2	13.706	3.6	5.094
ABBA01031664.1	0.057	0.107	0.303	0.277	0.186	0.163	0.11	0.12	0	0.232	0.177	0.058	0.017	0.067	0.23	0.03	0.271	0.101	0.095	0.046	0.057	0.04	0	0.057	0.043
ABCA1	4.56	5.785	14.99	1.425	25.785	8.525	4.381	6.44	2.549	4.794	1.843	9.333	14.193	12.487	22.145	4.307	11.545	22.079	32.867	5.922	11.405	5.555	8.568	4.264	12.59
ABCA10	7.674	6.303	10.537	13.146	6.592	13.578	5.988	10.886	2.667	3.505	3.579	2.573	2.293	5.323	5.289	2.738	2.108	8.363	4.311	3.923	4.077	4.852	4.243	2.068	2.64
ABCA12	4.774	1.774	11.592	3.998	2.942	3.346	7.878	3.542	2.198	4.176	1.667	3.165	2.536	13.279	6.383	7.314	12.925	17.651	5.622	5.777	2.203	4.374	1.803	5.361	2.287
ABCA13	2.152	0.645	1.785	9.998	1.012	1.426	2.527	3.744	2.129	1.789	0.627	0.884	0.545	1.07	2.33	2.527	1.807	2.164	1.083	0.945	1.219	1.222	1.88	0.918	0.975
ABCA2	2.279	2.07	3.089	1.604	1.647	1.754	1.408	1.503	0.501	0.71	0.648	1.369	1.052	2.959	4.22	2.921	1.93	3.669	0.583	0.927	1.234	0.861	1.334	0.496	1.116
ABCA3	0.591	0.472	1.316	0.309	0.535	1.797	0.261	0.351	0.364	0.608	0.156	0.29	0.232	1.792	0.834	1.056	0.841	1.041	0.216	0.163	0.26	0.148	0.461	0.328	0.673
ABCA4	0.071	0.488	0.423	1.039	0.082	1.51	0.757	0.843	0.252	0.023	0.287	0.243	0.12	0.104	0.221	0.146	0.131	0.073	0.101	0.278	0.117	0.127	0.957	0.153	0.124
ABCA5	17.788	16.266	35.912	24.715	19.21	29.872	22.859	31.466	9.935	12.587	14.795	8.316	9.546	22.54	26.303	16.201	13.943	35.169	13.696	12.175	14.602	14.71	13.638	8.271	9.7
ABCA6	6.728	20.116	13.813	6.044	8.309	19.407	10.488	6.681	4.504	6.638	10.447	3.937	3.398	7.602	7.65	11.893	6.539	14.667	4.335	3.273	6.369	3.961	7.95	11.06	16.537
ABCA7	3.889	2.204	3.931	4.055	2.673	4.861	2.216	2.104	1.905	1.761	1.063	1.453	0.798	7.175	6.373	6.276	4	5.571	1.506	1.741	1.57	1.903	2.403	1.662	1.22
ABCA8	3.877	4.182	3.429	1.03	1.435	4.358	3.366	1.112	0.866	2.092	2.382	0.349	1.413	3.884	2.926	3.205	3.468	4.883	1.104	1.381	2.609	1.961	1.696	2.373	2.838
ABCA9	4.703	9.514	5.291	4.271	5.923	9.128	5.692	5.46	2.24	2.951	4.653	2.164	1.942	2.511	2.965	2.765	2.054	5.553	2.803	2.691	3.626	1.631	3.73	2.709	5.258
ABCB1	0.314	0.587	1.461	0.059	0.612	2.251	0.365	0.3	0.567	0.483	0.074	0.961	0.329	0.23	0.884	0.282	0.596	0.732	0.456	0.343	0.275	0.197	0.079	0.216	0.671
ABCB10	6.726	4.852	9.013	7.874	6.076	9.04	6.17	11.941	3.635	3.331	3.13	3.395	3.692	11.866	8.284	7.109	6.933	10.257	5.656	2.782	3.426	4.282	3.045	2.327	2.614
ABCB11	0.387	0.26	0.944	0.699	0.53	0.271	0.657	0.128	1.108	0.364	0.272	0.554	0.158	1.047	2.135	2.59	0.281	0.885	0.387	0.135	0.237	0.487	0.055	0.338	0.126
ABCB4	0.801	0.411	0.866	0.328	0.559	0.353	0.538	0.526	0.19	0.248	0.436	0.403	0.395	0.481	0.256	0.418	0.774	1.012	0.222	0.203	0.399	0.461	0.159	0.191	0.335
ABCB5	0.083	0.168	2.326	0.023	0.032	0.037	0.025	0.202	0	0	0.103	0.02	0.222	0.616	0.176	0.275	0.287	0.138	1.397	0.021	0.013	3.542	0.015	0.004	0.026
ABCB6	10.933	6.85	11.363	7.89	7.574	11.436	8.301	11.063	2.339	2.655	2.409	1.331	2.061	12.472	9.032	14.708	16.824	10.077	2.507	6.585	6.681	3.173	4.644	2.853	3.813
ABCB7	8.963	7.455	14.99	13.053	8.666	12.725	10.957	16.009	5.194	5.967	6.381	5.427	6.225	18.132	11.954	11.395	13.769	17.335	7.988	5.79	7.133	6.467	6.678	4.476	6.12
ABCB8	11.659	6.943	18.769	10.203	6.601	13.257	6.987	8.123	3.132	4.062	3.881	3.324	5.224	9.55	11.457	9.845	8.277	12.867	3.739	5.004	5.789	4.145	6.113	2.596	3.876
ABCB9	5.175	2.811	6.645	4.902	3.511	5.852	3.401	4.329	1.384	1.334	1.151	1.008	1.128	2.938	3.494	3.508	2.604	4.196	1.552	1.435	2.494	2.506	3.407	1.538	1.232
ABCC1	6.91	3.326	11.709	3.155	4.428	4.289	4.572	3.002	0.927	1.34	1.953	3.53	5.241	7.397	8.338	6.542	5.372	14.08	5.79	3.491	2.122	3.395	1.131	1.072	2.201
ABCC10	8.621	3.912	12.386	6.36	4.98	8.334	4.149	5.405	1.569	2.078	1.757	1.761	2.248	5.696	6.327	7.68	5.193	8.982	2.693	1.579	2.898	2.599	1.892	1.185	1.882
ABCC11	0.718	0.445	0.459	0.692	0.243	0.933	0.42	0.773	0.109	0.208	0.145	0.147	0.207	0.237	0.143	0.319	0.17	0.422	0.197	0.395	0.151	0.936	0.198	0.157	0.317
ABCC12	0.006	0.008	0	0.005	0	0.027	0	0.107	0	0	0	0	0	0.007	0	0	0	0	0.022	0	0	0.014	0.024	0	0
ABCC2	0.56	0.282	0.65	0.516	0.364	0.567	0.426	0.769	0.16	0.086	0.317	0.098	0.204	0.363	0.473	0.3	0.427	0.393	0.586	0.232	0.197	0.46	0.228	0.08	0.134
ABCC3	20.283	3.471	23.769	3.2	4.703	2.899	8.14	2.595	0.63	1.383	5.863	2.821	9.238	7.585	7.732	31.788	4.913	35.856	6.404	4.453	2.194	3.765	0.922	1.328	3.251
ABCC4	2.748	1.712	5.256	0.277	2.108	0.438	2.42	0.987	0.334	0.915	2.121	3.235	4.369	2.631	3.909	2.313	2.86	6.49	2.421	1.493	1.389	2.839	0.139	0.644	1.393
ABCC5	16.167	16.151	14.428	27.659	12.494	24.93	13.445	30.284	5.807	6.758	6.39	4.687	7.979	16.89	14.259	13.32	23.533	17.629	8.353	7.32	11.182	7.481	8.076	2.931	5.87
ABCC6	0.165	0.069	0.241	0.037	0.079	0.184	0.179	0.183	0.045	0.294	0.084	0.109	0.104	0.411	0.301	0.254	0.073	0.46	0.19	0.036	0.17	0.14	0.078	0.15	0.19
ABCC8	0.012	0.025	0	0.005	0.016	0.016	0	0.048	0	0	0	0.024	0	0	0	0	0	0	0.165	0	0	0	0	0.004	0
ABCC9	0.372	0.318	0.093	0.048	0.524	0.071	0.273	0.257	0.023	0.036	0.593	0.181	0.3	0.018	0.798	0.191	0.51	0.634	0.39	0.114	0.373	0.132	0.005	0.034	0.373
ABCD1	1.639	1.024	2.789	1.242	2.867	1.265	0.749	0.738	0.39	0.528	0.434	1.367	1.873	2.589	5.307	2.021	1.516	4.339	2.092	0.625	1.05	0.923	1.018	1.167	0.839
ABCD2	0.569	0.503	0.265	0.786	0.488	0.4	0.424	1.529	0.382	0.226	0.202	0.592	0.327	0.568	0.357	0.211	0.098	0.291	0.481	0.228	0.594	0.114	0.321	0.356	0.491
ABCD3	24.831	17.793	41.505	30.941	17.554	33.725	35.482	36.301	16.942	20.546	16.217	10.327	11.534	43.557	30.242	36.894	35.423	42.749	15.137	17.412	18.992	17.627	20.249	13.908	14.174
ABCD4	15.002	9.717	21.087	14.391	10.512	16.027	9.765	13.389	3.543	4.224	3.718	5.119	5.94	12.933	12.908	11.667	11.376	14.982	7.529	6.932	6.866	5.772	7.509	3.803	4.841
ABCE1	28.4	19.54	46.128	24.583	16.866	36.35	34.292	42.704	16.946	20.92	20.726	19.87	22.367	73.369	30.804	59.022	47.423	62.217	14.411	24.907	21.01	19.105	25.767	14.048	26.408
