KR_38	KR_50	KR_51	KR_53	KR_56	KR_57	KR_61	KR_64	KR_08	KR_13	KR_14	KR_15	KR_18	KR_19	KR_21	KR_23	KR_24	KR_25	KR_26	KR_27	KR_28	KR_33	KR_35	KR_48	KR_52
BCL2L1	22.023	14.813	25.813	19.499	15.004	19.012	20.991	24.711	10.325	8.88	7.163	12.301	10.83	29.316	27.123	30.779	28.207	43.197	9.546	10.964	12.204	8.446	16.56	9.445	9.672
BCL2L10	0.8	0.348	0.638	1.468	0.457	1.323	0.704	0.842	0.278	0.543	0.446	0.256	0.395	0.907	0.784	0.605	1.715	1.516	0.398	0.761	0.575	0.438	0.918	0.56	0.316
BCL2L11	6.02	4.825	7.973	7.151	7.485	10.711	7.308	7.715	3.144	3.95	3.677	9.618	4.573	16.005	9.681	4.77	8.253	19.557	7.585	12.5	4.75	5.585	13.583	3.403	3.367
BCL2L12	3.377	1.513	3.118	1.369	2.027	2.21	2.062	2.756	0.51	1.135	1.021	2.015	1.497	4.827	4.124	3.947	4.243	6.737	1.957	2.214	1.151	1.112	2.088	1.05	1.023
BCL2L13	167.743	132.989	131.13	238.536	93.224	210.59	160.165	320.95	119.708	56.421	69.734	35.359	14.797	197.257	94.397	226.622	143.017	166.287	22.179	119.345	131.324	44.86	225.362	76.441	123.319
BCL2L14	1.94	0.734	1.688	1.618	2.616	1.088	1.525	1.345	0.785	1.392	0.668	3.859	0.543	1.685	5.387	2.584	1.353	2.038	1.282	0.694	1.166	1.16	0.797	2.768	0.467
BCL2L15	2.952	0.461	5.196	1.474	1.91	1.293	2.985	1.017	0.182	1.05	0.228	0.673	1.69	1.192	3.928	2.86	2.572	5.529	0.697	0.458	1.405	4.786	0.75	1.193	0.459
BCL2L2	10.678	9.695	16.279	10.974	7.52	13.016	9.854	15.088	5.061	4.085	4.031	3.862	3.684	15.127	14.545	13.985	18.717	26.798	4.969	6.947	4.422	4.343	5.663	3.294	5.163
BCL2L2-PABPN1	5.766	3.206	14.152	6.098	4.552	6.872	6.021	7.191	3.966	4.856	3.815	6.253	4.476	9.275	5.555	14.255	5.244	10.156	1.639	6.759	7.715	4.963	7.176	3.694	5.691
BCL3	1.073	1.188	2.158	0.806	2.299	1.508	1.163	0.804	0.81	1.467	0.748	3.986	2.548	8.653	11.621	3.819	9.784	13.28	2.988	3.03	1.129	1.955	3.307	1.314	1.392
BCL6	20.883	21.151	34.034	41.936	22.503	53.481	16.502	37.503	10.56	13.474	7.186	8.234	7.183	24.709	32.6	22.734	27.638	31.333	15.532	12.209	10.253	11.612	25.903	12.974	7.756
BCL6B	0.288	0.195	0.123	0.075	0.387	0.251	0.222	0.154	0.033	0.029	0.018	0.158	0.233	0.145	0.904	0.057	0.415	0.304	0.192	0.065	0.213	0.084	0.053	0.056	0.271
BCL7A	6.04	4.651	7.314	6.658	3.513	9.432	4.175	8.311	2.843	2.563	1.694	1.47	1.294	7.229	5.649	6.994	6.209	5.572	1.169	3.36	3.516	1.861	6.552	2.02	2.355
BCL7B	11.619	6.697	13.901	8.651	7.262	10.287	8.204	10.468	5.58	5.991	6.195	9.302	7.815	23.844	12.354	20.335	14.316	23.513	6.205	11.678	6.403	5.094	11.764	4.995	7.134
BCL7C	8.436	5.892	14.124	6.03	5.048	7.311	6.601	7.842	3.667	5.795	5.23	5.519	5.069	13.362	12.426	15.266	11.98	19.94	3.904	6.926	6.062	6.039	5.603	4.005	6.326
BCL9	2.243	1.413	3.701	3.758	1.799	2.927	1.565	3.012	0.745	1.114	1.081	1.01	0.903	3.189	3.804	3.562	3.308	6.142	0.692	1.013	2.07	1.278	2.256	0.843	1.402
BCL9L	7.297	3.262	8.219	5.107	3.214	4.774	4.695	4.539	2.212	2.052	2.304	2.377	3.561	9.91	17.921	13.589	7.99	18.987	2.056	3.769	2.629	2.209	3.744	1.698	2.174
BCLAF1	61.025	40.324	93.056	59.613	48.718	63.49	65.481	77.338	40.466	43.147	42.936	45.267	34.395	92.48	86.206	88.211	78.781	116.926	39.459	51.313	47.134	47.797	40.63	35.322	37.202
BCO1	1.062	0.739	1.505	1.825	1.914	4.24	0.803	1.256	1.59	2.05	0.218	0.828	0.028	1.32	4.532	2.208	2.488	0.643	0.195	0.82	1.327	1.257	1.466	1.618	0.68
BCO2	47.329	35.074	36.228	60.98	21.769	56.934	30.058	57.835	21.537	10.777	24.878	4.416	2.063	20.541	10.375	40.892	11.682	25.392	4.653	19.035	22.416	24.093	33.054	10.82	14.839
BCOR	7.197	4.921	8.875	5.772	5.593	6.62	6.236	7.015	2.508	3.282	1.495	3.424	3.547	7.385	9.285	8.138	6.05	8.06	2.563	3.763	3.453	2.937	3.426	2.984	3.775
BCORL1	0.628	0.435	0.838	0.891	0.616	1.002	0.577	0.691	0.259	0.321	0.248	0.168	0.22	1.079	1.298	1.102	0.727	1.175	0.545	0.609	0.244	0.377	1.07	0.262	0.27
BCR	76.281	11.331	60.265	30.149	21.633	37.067	33.85	27.233	7.207	13.537	5.509	16.674	10.406	30.036	27.665	26.57	20.304	36.071	19.491	19.766	12.414	15.492	13.019	9.568	7.894
BCS1L	5.567	3.69	9.265	5.263	4.348	5.363	3.751	5.706	1.757	2.158	3.114	1.961	3.299	7.934	7.647	8.369	7.316	5.863	2.834	2.549	3.666	2.19	2.303	2.442	2.888
BDH1	10.11	4.086	15.876	6.163	4.467	6.731	11.803	7.557	2.32	4.932	2.124	5.069	2.49	10.637	5.37	8.641	11.379	15.903	3.902	5.882	3.087	3.932	3.262	5.507	2.516
BDH2	24.727	16.774	31.827	18.104	17.758	18.549	23.748	27.181	13.201	17.323	15.858	9.75	6.557	27.725	28.357	30.252	38.966	39.367	11.578	13.846	14.859	15.589	15.053	10.85	13.835
BDKRB1	1.867	1.763	2.805	2.338	1.563	2.564	1.49	3.795	0.92	0.695	0.76	0.739	0.36	2.063	2.159	1.808	2.21	3.64	0.751	1.932	1.223	0.595	1.398	0.72	0.948
BDKRB2	3.494	3.003	7.322	2.632	4.339	5.137	3.5	4.313	1.678	3.007	1.278	2.145	1.718	13.288	8.308	7.362	12.238	12.684	1.629	4.314	1.922	2.498	2.181	2.592	1.318
BDNF	0.904	0.85	0.731	1.022	0.62	1.396	0.814	1.546	0.634	0.396	0.504	0.11	0.116	0.341	0.76	0.573	0.689	0.567	0.298	0.333	0.47	0.585	0.43	0.22	0.475
BDP1	14.583	11.99	23.357	18.516	11.845	19.919	15.867	25.757	10.977	10.686	12.362	9.553	9.936	21.594	17.476	18.641	16.604	26.272	10.612	14.689	9.498	10.394	12.694	7.192	7.305
BEAN1	1.779	1.542	3.45	1.358	1.195	2.018	1.594	1.572	0.323	0.196	0.52	0.51	0.836	0.986	1.115	1.512	0.897	3.73	0.797	0.806	1.065	1.25	0.956	0.224	0.571
BECN1	35.964	22.766	50.987	36.549	26.651	36.162	32.682	44.486	18.173	17.353	14.68	20.844	18.39	49.782	49.848	55.053	51.157	60.329	19.881	24.419	23.198	21.141	25.276	18.136	20.009
BEGAIN	1.689	0.168	2.1	0.327	0.339	0.212	0.899	0.421	0.023	0.152	0.278	0.272	0.261	0.859	0.788	1.845	0.442	1.692	0.56	1.927	0.225	0.61	0.178	0.084	0.252
BEND2	0.032	0.022	0.04	0.026	0.016	0.034	0.037	0.073	0.003	0.017	0.004	0.004	0.031	0.021	0.02	0.019	0.016	0.049	0.058	0.011	0.012	0.008	0	0	0.009
BEND3	0.804	0.295	1.044	0.459	0.298	0.614	0.548	0.54	0.173	0.226	0.285	0.236	0.374	1.193	0.508	0.903	0.663	1.495	0.233	0.353	0.289	0.372	0.294	0.145	0.231
BEND4	0.004	0	0.002	0	0.013	0.002	0.001	0.024	0	0.013	0	0.011	0.01	0.007	0.01	0	0.049	0.009	0.016	0.014	0.013	0	0	0	0
BEND5	20.454	10.783	19.667	14.548	7.918	11.631	13.537	21.241	5.644	3.765	5.793	0.717	1.231	4.085	8.415	15.541	8.271	12.314	1.86	7.318	7.69	6.614	5.406	3.13	4.351
BEND6	3.424	1.791	2.591	1.628	2.996	2.043	1.431	3.022	2.091	1.335	1.556	2.054	1.788	3.05	5.605	3.522	5.309	4.362	1.292	1.224	1.909	3.488	0.479	1.514	1.527
BEND7	4.471	1.797	6.41	5.532	2.714	4.49	2.327	3.848	2.238	0.921	2.071	1.039	0.647	3.648	2.055	5.56	1.155	3.297	1.72	3.212	2.237	2.715	2.4	0.898	1.277
BEST1	1.178	2.541	2.992	2.549	3.66	3.376	1.997	7.601	1.28	1.016	1.152	1.148	2.595	2.851	2.406	1.043	2.053	3.424	5.083	1.479	1.26	1.163	6.588	0.361	1.07
BEST2	0.064	0.05	0.091	0.059	0.153	0.148	0.067	0.08	0.016	0.013	0.026	0.178	0.025	0.092	0.113	0.032	0.113	0.114	0.027	0.062	0.034	0.07	0.087	0.005	0.135
BEST3	0.327	0.157	0.223	0.119	0.318	0.253	0.287	0.857	0.098	0.088	0.269	0.243	0.074	0.157	0.188	0.183	0.229	0.228	0.163	0.416	0.17	0.078	0.261	0.064	0.237
BEST4	0.075	0.042	0.243	0.077	0.047	0.141	0.064	0.107	0.053	0.038	0.038	0.099	0.079	0.335	0.142	0.078	0.368	0.236	0.092	0.15	0.057	0.113	0.061	0.03	0.079
BET1	14.111	9.498	20.05	13.899	13.142	16.283	13.113	21.759	7.275	8.045	9.12	7.84	6.767	17.897	22.373	18.683	20.86	20.774	10.201	5.996	6.452	7.239	7.966	6.111	5.576
BET1L	7.086	3.787	9.431	6.089	4.887	6.079	4.626	7.027	2.941	3.184	1.996	3.388	4.074	10.232	11.329	10.898	9.845	12.088	3.322	3.823	4.504	2.828	4.067	3.185	3.469
BEX1	0.133	0.022	0.12	0.014	0.012	0.123	0.534	0.147	0	0.016	0.093	0.129	0.034	0.071	0.034	0	0.159	0.146	0.05	0.248	0	0.02	0.019	0.055	0.014
BEX2	5.024	2.893	5.062	5.367	2.018	5.522	3.982	9.71	3.047	3.005	2.533	0.677	0.356	7.366	3.101	6.96	6.621	4.242	0.69	2.13	2.157	0.9	4.961	1.301	3.025
BEX4	12.644	10.037	18.486	12.988	10.336	14.551	12.917	27.436	6.79	10.301	7.896	6.307	3.826	22.52	20.264	23.074	22.657	21.243	8.195	10.119	8.673	6.184	9.534	7.145	8.763
BEX5	0.146	0.34	0.481	0.328	0.397	0.152	0.032	0.681	0.083	0.093	0.105	0.063	0.077	0.039	0.074	0.396	0.172	0.736	0.073	0.051	0.085	0.134	0.063	0.114	0.209
BFAR	17.393	13.306	23.076	17.28	13.726	19.405	16.891	25.001	10.166	8.683	9.568	10.896	9.4	26.692	21.649	28.276	25.808	33.834	11.747	15.211	13.589	10.841	18.468	8.469	10.235
BFSP1	0.717	0.567	1.152	0.462	0.404	0.831	0.767	1.13	0.297	0.423	0.556	0.307	0.198	0.723	0.502	1.571	0.929	1.141	0.272	0.59	0.266	0.345	0.462	0.435	0.505
BFSP2	0.418	0.163	0.036	0.618	0.371	1.006	0.225	1.46	0.335	0.432	0.058	0.223	0.023	0.379	0.093	0.131	0.196	0.244	0.305	0.031	0.373	0.07	0.369	0.132	0.094
BGLAP	0.113	0	0.112	0.002	0.036	0.131	0.141	0.019	0	0	0.055	0.053	0.062	0.044	0	0.196	0.122	0.209	0.055	0.03	0.002	0.079	0.08	0.02	0.046
BGN	16.917	14.8	12.755	2.965	4.78	5.393	2.808	3.194	2.102	2.906	17.463	4.804	10.273	15.712	73.146	27.444	40.892	59.659	6.074	6.75	21	30.015	2.301	6.621	17.908
BHLHA15	0	0	0.06	0	0.038	0	0	0	0.004	0.006	0	0	0	0	0.043	0	0	0	0	0.036	0.124	0	0	0	0
BHLHA9	0	0	0	0	0	0	0	0	0	0	0	0	0.026	0	0	0	0	0	0	0	0	0	0	0.009	0
BHLHB9	1.523	1.436	2.279	1.655	1.484	1.902	1.582	2.927	0.953	0.767	1.025	0.447	0.52	1.523	2.118	2.243	2.304	2.365	0.506	0.951	1.541	0.939	0.967	0.648	1.523
BHLHE22	0.183	0.047	0.53	0.007	0.162	0.031	0.072	0.026	0.021	0.036	0.032	0.036	0.037	0.018	0.189	0.201	0.22	1.032	0.026	0.121	0.023	0.029	0	0.084	0.115
BHLHE40	33.358	30.509	79.777	30.411	39.021	40.936	29.199	43.123	22.323	15.411	16.127	35.067	20.518	127.934	83.333	62.331	71.585	160.922	25.342	73.125	20.786	28.331	54.554	13.403	13.688
BHLHE41	19.997	25.914	31.952	40.48	11.65	33.952	11.445	38.34	15.274	5.958	10.022	4.286	6.286	16.319	8.659	38.994	7.092	24.609	9.78	11.899	21.294	4.873	35.391	10.924	18.419
BHMG1	0.01	0.007	0.014	0	0.01	0.014	0.007	0	0	0.004	0	0.004	0	0.008	0.008	0.026	0.012	0	0.004	0.005	0.025	0	0.008	0.007	0.003
BHMT	1.367	1.089	2.225	2.196	1.502	2.194	0.808	2.456	0.547	0.569	0.45	0.391	0.473	0.295	1.4	0.385	0.212	0.949	0.514	0.168	1.509	1.006	0.697	0.608	0.654
BHMT2	3.002	3.163	2.502	2.772	2.034	2.96	1.504	2.847	0.737	1.183	1.747	0.66	0.672	1.979	3.32	2.377	2.412	3.999	0.774	1.178	2.202	2.573	1.246	1.211	1.6
BICC1	5.692	6.253	7.217	0.975	3.868	3.535	5.334	1.896	1.224	1.915	5.486	5.084	3.198	8.101	18.768	6.516	12.504	19.405	2.488	2.568	4.022	7.297	1.541	3.033	6.311
BICD1	6.474	5.086	9.92	5.213	3.688	6.915	5.473	10.404	1.845	1.819	4.337	2.857	3.642	5.106	4.902	4.58	3.2	11.97	4.566	2.64	3.142	3.624	3.975	1.344	2.939
BICD2	35.314	20.517	62.194	27.109	31.444	34.499	26.721	31.878	14.246	16.19	14.31	16.572	12.401	55.021	56.128	47.356	66.317	83.361	10.617	35.532	15.773	17.22	21.98	12.814	12.322
BID	21.72	13.17	22.67	23.671	10.063	31.233	15.334	43.317	10.637	6.806	9.546	6.361	6.038	19.447	13.064	28.663	17.905	23.252	6.558	9.041	9.569	6.74	19.739	6.011	10.177
BIK	3.476	2.65	5.38	3.455	2.369	4.946	2.564	4.74	3.023	2.71	2.048	1.489	0.582	12.397	6.178	4.259	7.109	5.98	0.939	3.639	1.886	1.66	6.037	2.608	1.869
BIN1	4.765	3.321	11.411	5.13	4.688	5.6	3.178	3.851	2.159	2.97	1.717	4.731	3.729	11.665	7.257	12.054	8.183	12.404	1.901	3.708	3.557	2.386	5.845	2.796	4.024
BIN2	0.992	1.066	3.115	0.285	3.422	0.354	0.868	0.693	0.338	1.86	0.673	5.179	5.932	3.766	5.222	1.181	1.3	3.68	7.986	0.453	1.508	1.014	0.167	1.599	2.979
BIN3	7.329	4.401	9.994	6.129	4.904	6.68	7.208	6.781	3.139	2.174	1.977	5.307	5.357	11.954	11.692	9.671	8.609	14.789	3.76	6.269	5.591	2.689	5.584	2.795	3.405
BIRC2	24.009	20.092	37.315	24.35	22.118	29.007	27.633	35.175	14.223	21.211	18.732	21.282	15.356	45.667	44.549	40.259	43.97	53.835	24.976	22.125	16.472	18.083	22.216	14.063	15.388
BIRC3	13.702	8.868	13.352	18.482	15.661	16.237	16.833	13.802	16.502	22.042	6.617	26.701	5.31	54.591	36.693	22.849	17.404	24.577	25.538	4.618	11.2	7.408	6.361	23.343	7.216
BIRC5	3.172	1.505	3.016	2.927	2.427	1.613	4.365	3.159	1.04	1.659	1.165	1.757	1.542	6.338	1.955	6.8	8.192	6.678	2.089	3.682	1.729	0.921	1.525	1.399	2.545
BIRC6	60.77	43.244	76.886	73.007	50.416	77.642	60.251	95.707	33.763	39.604	37.477	37.937	32.636	65.197	54.809	55.457	49.321	83.214	41.344	38.99	46.36	39.18	66.786	22.473	31.587
BIRC7	0.189	0.192	0.166	0.115	0.224	0.098	0.095	0.232	0.016	0.101	0.058	0.107	0.146	0.454	0.507	0.282	0.117	0.145	0.114	0.01	0.089	0.484	0.04	0.075	0.132
BIRC8	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BIVM	5.268	3.934	8.774	5.025	4.506	5.625	5.559	6.245	2.378	4.465	3.711	2.074	1.424	6.758	6.656	6.403	7.355	6.73	2.319	1.458	3.435	2.819	1.992	1.864	1.788
BIVM-ERCC5	10.524	6.83	15.053	12.36	7.801	11.372	9.753	13.589	4.999	5.594	4.869	3.906	5.496	8.843	8.625	11.182	7.955	13.768	5.354	4.763	7.857	7.819	7.163	4.394	6.175
BLACE	0.035	0.033	0.038	0.027	0.003	0.045	0.015	0.028	0.011	0	0	0.005	0.013	0.01	0.047	0.008	0	0.013	0.013	0.034	0.025	0.021	0.01	0	0.004
BLCAP	34.616	21.703	41.41	36.403	23.183	35.576	30.231	47.088	13.956	11.558	11.438	10.491	9.421	31.816	29.451	42.054	29.918	45.895	10.159	16.311	16.943	11.877	22.847	9.916	12.645
BLID	1.697	0.865	1.096	0.354	0.47	0.933	1.717	1.024	0.205	0.496	0.845	0.095	0.148	0.33	1.035	0.451	0.427	1.536	0.896	0.289	0.496	0.764	0	0.295	0.468
BLK	0.005	0.033	0.061	0	0.464	0.018	0.026	0.061	0.005	0.053	0.006	0.345	0.269	0.094	0.095	0.01	0.046	0.098	0.135	0	0.157	0.02	0	0.047	0.048
BLM	1.465	1.185	1.711	1.602	1.574	0.91	1.785	2.206	0.406	0.928	1.209	2.865	1.818	3.029	2.108	2.746	1.53	2.341	3.378	1.343	1.5	0.778	0.799	1.045	1.868
BLMH	17.121	10.117	16.974	17.967	12.887	16.938	16.197	21.86	6.04	7.026	9.546	5.422	6.34	23.741	10.914	19.177	19.387	26.68	8.679	9.375	8.391	11.745	15.036	4.723	9.292
BLNK	22.64	16.08	35.725	24.172	22.571	26.271	23.96	23.481	14	15.037	9.069	14.881	10.341	38.769	34.209	32.8	29.532	43.319	9.408	21.138	13.293	16.167	15.187	13.772	9.861
BLOC1S1	35.56	18.152	46.664	27.463	23.052	30.669	33.74	38.791	22.36	26.1	22.791	23.396	20.263	54.937	46.494	61.062	49.58	56.551	24.441	23.092	25.51	18.165	18.444	19.329	26.42
BLOC1S2	29.798	22.607	66	28.537	28.138	34.089	33.689	44.328	14.968	25.643	23.832	19.894	16.245	75.937	57.557	48.154	64.331	68.506	25.718	20.669	13.094	17.954	14.718	18.086	17.522
BLOC1S3	1.247	0.85	1.469	1.086	0.968	0.98	0.77	1.017	0.458	0.527	0.452	0.6	0.709	1.471	1.494	1.688	1.486	3.185	0.627	0.598	0.701	0.561	0.996	0.477	0.711
BLOC1S4	2.703	2.238	4.367	2.763	2.442	2.915	2.661	3.242	1.572	1.727	1.454	2.075	2.128	6.591	6.05	5.1	6.223	7.922	1.521	2.546	2.159	1.737	2.607	1.495	2.369
BLOC1S5	7.478	5.951	9.415	9.629	6.059	9.235	6.79	10.212	4.463	4.004	4.377	2.636	4.239	8.059	8.427	10.357	8.035	9.058	5.205	2.395	4.091	4.316	6.601	3.568	3.489
BLOC1S5-TXNDC5	10.273	5.232	10.771	6.869	9.73	8.228	6.66	15.674	1.597	2.895	2.632	2.8	2.593	6.763	8.464	7.43	7.11	5.811	9.082	2.473	4.208	4.966	3.226	1.458	1.282
BLOC1S6	32.709	26.408	49.716	32.209	27.164	37.453	29.725	41.612	10.941	15.985	16.593	19.498	16.88	40.08	41.046	26.626	36.476	60.388	24.316	19.008	18.265	22.77	17.37	10.763	14.11
BLVRA	13.356	13.302	21.625	19.708	19.581	17.051	11.223	22.238	9.404	7.866	8.708	12.862	13.535	26.802	23.33	24.471	25.207	30.123	11.203	9.684	10.15	10.673	13.752	7.573	12.644
BLVRB	13.802	12.178	16.906	18.966	11.572	20.134	15.641	23.366	15.033	9.059	9.301	7.572	13.384	32.767	22.859	29.854	18.526	24.11	6.975	11.684	13.67	9.007	18.323	8.235	12.916
BLZF1	18.604	13.573	26.674	14.306	12.964	16.929	23.213	25.801	12.901	11.572	15.767	21.715	12.588	36.567	32.13	27.386	44.516	57.299	14.99	18.469	10.16	9.987	10.488	12.332	9.598
BMF	1.468	1.332	1.869	1.751	2.274	2.51	0.938	2.299	0.466	0.769	0.388	1.364	1.948	2.154	3.308	0.757	1.033	2.734	4.043	0.424	1.079	1.237	1.592	0.74	0.896
BMI1	26.181	19.422	32.365	25.096	21.882	31.495	20.116	36.94	17.801	12.375	17.08	12.075	9.877	28.076	29.036	25.001	27.161	37.151	16.796	8.118	14.575	11.338	15.03	9.459	11.501
BMP1	17.963	7.603	43.707	10.626	12.754	12.002	13.948	9.23	2.854	5.21	4.015	7.997	8.66	17.528	27.153	20.317	24.161	42.339	9.193	11.195	6.448	6.392	6.082	3.597	4.193
BMP10	0.007	0	0	0.007	0	0	0	0.041	0	0.024	0	0.028	0	0	0.017	0	0	0	0.032	0	0.019	0	0	0	0
BMP15	0	0	0.027	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011	0	0	0	0	0.008	0
BMP2	0.268	0.198	2.334	0.055	0.26	0.127	0.259	0.164	0.021	0.052	0.16	2.325	1.137	0.428	1.667	0.333	0.926	8.541	0.636	0.263	0.096	0.091	0.059	0.033	0.115
BMP2K	23.443	17.693	41.681	19.962	22.307	23.693	27.44	30.866	11.725	14.824	17.598	33.222	31.853	46.169	36.375	31.881	32.861	57.532	30.108	23.456	17.794	18.453	20.098	13.503	23.999
BMP3	1.328	1.222	2.168	1.435	0.384	8.876	4.944	5.759	1.372	3.556	2.217	0.297	0.414	13.972	3.018	4.375	11.052	6.183	1.991	0.304	1.233	1.095	3.264	1.988	3.055
BMP4	3.369	3.317	3.096	0.437	1.578	1.313	2.67	0.837	0.722	0.295	1.573	0.582	1.616	2.271	4.703	6.192	3.184	9.064	0.381	0.751	1.427	1.705	0.642	1.069	2.039
BMP5	0.004	0.008	0.005	0.011	0.003	0.016	0.015	0.058	0	0.004	0	0.011	0.005	0.044	0.009	0	0.02	0	0.008	0.006	0.005	0.005	0.005	0.006	0.004
BMP6	0.189	0.282	0.615	0.063	0.271	0.114	0.255	0.382	0.097	0.066	0.262	0.451	0.22	0.193	0.962	0.54	0.935	2.058	0.587	0.132	0.108	0.174	0.074	0.046	0.155
BMP7	31.593	18.729	33.141	20.473	13.969	23.524	14.996	26.894	7.436	5.052	6.793	1.853	1.289	14.127	11.342	25.854	19.104	26.849	1.693	23.458	9.008	9.451	12.595	4.974	8.508
BMP8A	0.211	0.079	0.273	0.138	0.157	0.121	0.048	0.117	0.01	0.032	0.083	0.091	0.08	0.181	0.171	0.066	0.163	0.479	0.054	0.114	0.069	0.052	0.04	0.02	0.01
BMP8B	0.094	0.095	0.073	0.061	0.165	0.074	0.063	0.106	0	0.039	0.008	0.089	0.064	0.152	0.15	0.025	0.075	0.608	0.048	0.033	0.037	0.019	0.016	0	0.035
BMPER	3.456	3.636	9.797	0.643	0.765	2.825	4.311	1.477	0.725	0.738	4.458	0.471	0.725	1.442	4.168	5.528	1.631	8.768	0.97	1.101	0.812	1.386	1.593	2.398	3.331
BMPR1A	14.533	9.49	19.795	10.926	8.797	17.576	14.824	14.495	5.683	4.64	5.228	6.612	5.237	15.944	17.998	13.512	20.243	14.876	5.971	8.665	8.638	10.649	10.309	5.928	6.877
BMPR1B	5.569	1.484	9.581	1.509	4.214	2.737	6.967	2.044	2.615	1.763	3.207	3.155	3.282	5.956	5.808	7.082	6.668	12.867	2.634	6.144	1.871	3.404	1.186	0.957	0.551
BMPR2	14.412	10.559	29.301	11.112	13.17	13.014	13.362	15.392	6.002	7.414	9.278	10.037	6.545	21.974	33.579	16.814	22.469	35.79	13.684	7.918	6.644	8.689	6.849	6.248	5.624
BMS1	9.067	5.566	12.515	8.093	5.672	10.302	8.249	11.021	3.867	4.613	4.138	4.311	4.557	11.348	9.239	10.424	9.951	13.187	4.634	5.952	4.775	4.798	5.826	3.688	4.265
BMX	1.368	0.779	1.199	1.868	1.797	2.212	1.928	1.697	0.589	0.814	0.942	0.666	0.2	0.504	1.234	1.048	0.915	0.736	0.463	0.702	1.171	1.119	0.549	0.711	0.74
BNC1	22.676	12.114	40.114	13.789	17.391	20.558	20.005	30.938	8.33	10.264	9.287	14.999	11.051	34.084	30.665	25.188	39.82	63.279	8.877	26.037	10.606	10.665	11.708	6.621	5.881
BNC2	32.287	19.615	30.276	39.006	19.56	41.153	30.637	56.934	20.794	18.633	22.616	6.258	6.258	22.962	17.112	34.974	25.807	32.001	9.102	22.852	16.66	14.249	39.076	11.965	20.552
BNIP1	3.534	2.899	6.657	3.271	2.636	3.971	3.37	4.84	2.336	2.253	2.375	1.795	1.777	5.676	4.562	5.134	6.573	6.915	1.981	3.595	3.479	2.281	3.407	1.404	2.505
BNIP2	51.781	43.013	71.916	72.454	47.799	63.084	56.283	88.324	36.847	38.403	35.51	41.432	33.953	98.576	76.592	75.295	80.36	96.774	46.681	44.984	43.076	39.237	59.623	30.227	39.369
BNIP3	2.112	1.958	3.201	1.643	1.695	4.213	3.413	3.258	1.757	1.732	2.291	2.665	4.552	9.844	20.907	3.543	4.87	10.934	7.503	1.783	1.835	3.896	1.409	1.032	2.707
BNIP3L	38.142	29.524	46.804	44.197	27.099	46.168	34.777	65.611	23.973	16.189	24.861	19.343	23.285	56.592	68.106	47.61	42.081	64.581	37.24	21.586	25.66	26.738	35.688	14.754	28.186
BNIPL	37.616	24.368	54.358	27.5	19.591	36.73	39.599	37.949	17.693	14.017	10.234	11.172	7.384	33.132	31.319	50.315	50.136	47.683	8.109	27.813	19.71	13.551	21.448	16.022	14.347
BOC	27.327	13.953	36.077	20.378	15.009	26.433	14.636	21.445	7.632	4.364	7.558	3.462	5.286	16.489	20.171	31.783	17.06	21.688	4.156	8.222	11.316	13.465	12.766	5.321	7.965
BOD1	17.76	11.365	21.018	15.292	10.833	18.366	12.237	21.79	7.916	7.813	9.859	6.831	6.926	23.346	19.92	20.786	23.479	28.72	7.144	9.929	12.164	11.798	14.907	5.248	9.596
BOD1L1	20.376	12.456	24.596	18.937	16.327	20.677	18.889	23.578	7	8.267	9.523	8.288	8.361	23.274	21.058	20.579	18.871	30.354	10.785	11.137	9.802	10.851	10.591	6.36	7.587
BOD1L2	0	0	0.005	0	0	0	0.004	0.027	0	0	0.005	0.01	0	0	0.009	0	0	0	0	0	0	0	0	0	0.015
BOK	7.276	3.734	10.8	3.748	2.638	5.09	3.687	3.513	2.618	2.618	2.648	2.475	2.722	9.986	8.55	10.334	9.292	14.111	1.322	3.89	3.212	3.455	3.904	2.143	2.663
BOLA1	4.271	3.171	6.377	4.509	3.059	4.967	2.876	6.193	2.645	2.816	1.992	1.264	1.564	4.618	5.915	4.917	5.589	4.082	1.876	1.677	2.697	2.231	3.089	2.357	2.811
BOLA2	1.689	1.086	3.892	1.753	1.517	1.88	1.842	2.185	1.735	2.297	1.511	1.824	1.293	3.53	2.017	5.301	4.281	4.135	0.515	1.631	1.866	1.084	1.808	1.629	1.427
BOLA2B	38.486	24.609	53.477	34.688	23.809	32.564	39.578	55.109	16.823	31.029	20.073	18.157	19.548	56.744	30.088	63.954	67.066	64.786	18.061	18.835	24.552	16.261	23.054	20.481	23.842
BOLA3	8.921	4.906	15.801	6.221	6.699	9.408	9.915	13.984	4.97	8.481	7.72	7.085	5.018	20.689	12.883	20.692	15.559	18.319	4.944	6.797	6.406	6.189	4.445	5.841	7.137
BOLL	0.646	0.536	0.387	0.829	0.663	0.542	0.204	0.675	0.322	0.845	0.493	0.339	0.337	0.395	0.977	0.796	0.436	0.812	0.135	0.134	0.055	0.357	0.048	0.452	0.082
BOP1	3.212	1.497	5.249	2.067	1.564	2.827	2.003	2.606	1.041	1.786	1.144	1.829	2.468	7.427	3.16	4.336	5.57	7.4	0.968	2.459	1.613	1.106	1.988	1.444	1.922
